Organism_Name,Organism_Groups,Size(Mb),Chromosomes,Organelles,Plasmids,Assemblies
Amborella trichopoda,Eukaryota;Plants;Land Plants,706.495,0,1,0,1
Ananas comosus,Eukaryota;Plants;Land Plants,382.056,25,1,0,2
Apostasia shenzhenica,Eukaryota;Plants;Land Plants,348.733,0,0,0,1
Aquilegia coerulea,Eukaryota;Plants;Land Plants,301.98,0,0,0,1
Asparagus officinalis,Eukaryota;Plants;Land Plants,1187.54,10,0,0,1
Berberis thunbergii,Eukaryota;Plants;Land Plants,2240.74,0,0,0,1
Carica papaya,Eukaryota;Plants;Land Plants,370.419,0,2,0,2
Cephalotus follicularis,Eukaryota;Plants;Land Plants,1614.52,0,0,0,1
Cinnamomum micranthum,Eukaryota;Plants;Land Plants,730.416,0,0,0,1
Datisca glomerata,Eukaryota;Plants;Land Plants,688.404,0,0,0,1
Dendrobium officinale,Eukaryota;Plants;Land Plants,1008.68,0,1,0,1
Drosera capensis,Eukaryota;Plants;Land Plants,263.788,0,0,0,1
Eichhornia paniculata,Eukaryota;Plants;Land Plants,571.388,0,0,0,1
Ensete ventricosum,Eukaryota;Plants;Land Plants,451.284,0,0,0,4
Eschscholzia californica,Eukaryota;Plants;Land Plants,489.065,0,0,0,1
Gastrodia elata,Eukaryota;Plants;Land Plants,1060.98,0,0,0,1
Genlisea aurea,Eukaryota;Plants;Land Plants,43.3578,0,0,0,1
Kalanchoe fedtschenkoi,Eukaryota;Plants;Land Plants,256.351,0,0,0,1
Liriodendron chinense,Eukaryota;Plants;Land Plants,1561.05,0,0,0,1
Macadamia integrifolia,Eukaryota;Plants;Land Plants,518.49,0,0,0,1
Macleaya cordata,Eukaryota;Plants;Land Plants,377.834,0,0,0,1
Marchantia polymorpha,Eukaryota;Plants;Land Plants,225.761,0,0,0,2
Musa acuminata,Eukaryota;Plants;Land Plants,472.231,11,0,0,1
Musa itinerans,Eukaryota;Plants;Land Plants,455.349,0,0,0,1
Nelumbo nucifera,Eukaryota;Plants;Land Plants,804.648,0,1,0,4
Papaver somniferum,Eukaryota;Plants;Land Plants,2715.38,11,0,0,1
Persea americana,Eukaryota;Plants;Land Plants,446.756,0,0,0,1
Phoenix dactylifera,Eukaryota;Plants;Land Plants,556.481,0,2,0,2
Physcomitrella patens,Eukaryota;Plants;Land Plants,472.081,27,2,0,1
Picea abies,Eukaryota;Plants;Land Plants,0,0,0,0,0
Picea glauca,Eukaryota;Plants;Land Plants,24633.1,0,1,0,3
Pinus lambertiana,Eukaryota;Plants;Land Plants,27602.7,0,0,0,1
Pinus sylvestris,Eukaryota;Plants;Land Plants,0.985624,0,0,0,1
Pinus taeda,Eukaryota;Plants;Land Plants,22103.6,0,0,0,1
Pseudotsuga menziesii,Eukaryota;Plants;Land Plants,14673.2,0,0,0,1
Quillaja saponaria,Eukaryota;Plants;Land Plants,248.908,0,0,0,1
Santalum album,Eukaryota;Plants;Land Plants,196.101,0,0,0,2
Selaginella kraussiana,Eukaryota;Plants;Land Plants,114.503,0,0,0,1
Selaginella moellendorffii,Eukaryota;Plants;Land Plants,212.315,0,0,0,1
Selaginella tamariscina,Eukaryota;Plants;Land Plants,300.729,0,0,0,1
Spirodela polyrhiza,Eukaryota;Plants;Land Plants,136.67,20,0,0,3
Vitis aestivalis,Eukaryota;Plants;Land Plants,432.755,0,0,0,1
Vitis cinerea x Vitis riparia,Eukaryota;Plants;Land Plants,539.624,0,0,0,1
Xerophyta viscosa,Eukaryota;Plants;Land Plants,295.462,0,0,0,1
Zostera marina,Eukaryota;Plants;Land Plants,203.914,0,0,0,1
Actinidia chinensis,Eukaryota;Plants;Land Plants,553.842,29,0,0,2
Aegilops tauschii,Eukaryota;Plants;Land Plants,4327.32,0,1,0,4
Aethionema arabicum,Eukaryota;Plants;Land Plants,192.488,0,0,0,1
Alnus glutinosa,Eukaryota;Plants;Land Plants,611.874,0,0,0,1
Amaranthus hypochondriacus,Eukaryota;Plants;Land Plants,502.148,0,0,0,1
Amaranthus tuberculatus,Eukaryota;Plants;Land Plants,4.34798,0,0,0,1
Aquilaria agallochum,Eukaryota;Plants;Land Plants,726.71,0,0,0,1
Arabidopsis halleri,Eukaryota;Plants;Land Plants,196.243,0,0,0,3
Arabidopsis lyrata,Eukaryota;Plants;Land Plants,206.823,0,1,0,3
Arabidopsis thaliana,Eukaryota;Plants;Land Plants,119.669,5,2,0,15
Arabis alpina,Eukaryota;Plants;Land Plants,311.642,8,0,0,3
Arabis montbretiana,Eukaryota;Plants;Land Plants,199.12,0,0,0,1
Arabis nordmanniana,Eukaryota;Plants;Land Plants,342.307,0,0,0,1
Arachis duranensis,Eukaryota;Plants;Land Plants,1084.26,10,0,0,2
Arachis hypogaea,Eukaryota;Plants;Land Plants,2538.44,20,1,0,1
Arachis ipaensis,Eukaryota;Plants;Land Plants,1353.5,10,0,0,1
Arachis monticola,Eukaryota;Plants;Land Plants,2618.65,20,0,0,1
Argania spinosa,Eukaryota;Plants;Land Plants,670.097,0,0,0,1
Artemisia annua,Eukaryota;Plants;Land Plants,1792.86,0,0,0,1
